개선된 게임프레스 DPS 기반의 속성별 레이드 성능 | 제작: Hawaii,,,,,,,,,,,,,,,,,,,,,,
시즌: 새로운 발걸음 | 2026년 6월 2일~2026년 9월 8일,,,,,,,,,,,,,,,,,,,,,,
,,,● DPS: 매 초당 가하는 평균 피해량　　● TDO: 살아있는 동안 가하는 누적 피해량,,,,,,,,,,,,,,,,,S,,
2026-09-01,,,※ 모바일 접속 시 [데스크톱 사이트] 모드에서 전체화면으로 볼 수 있습니다,,,,,,,,,,,,,,,,,A,,
,,,🔗,레이드: 자체 제작 시뮬레이터,,,,,,,,,,,,,,,,,,
,,,🔗,맥스배틀: 맥스공격 성능표(테스트),,,,,,,,,,,,,,,,B,,
,,,🔗,레이드: 게임프레스 DPS 성능표(한글),,,,,,,,,,,,,,,,,,
,,,🔗,레이드: 게임프레스 DPS 성능표(영문/원본),,,,,,,,,,,,,,,,,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,M,레벨 40,3열,포켓몬,N,5열,일반공격,C,7열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,44.7,1927.4,80769.9,109.13,41.3,1822.9,106.1,BSS,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,,M,,,이름 재입력,뮤츠(메가X)¹,,격투,카운터*,,격투,폭발펀치++++,47.0,2040.3,212375.5,120.28,113.9,111.9,113.4,SSS,,
,4161,M,,,이름 재입력,루카리오(메가)¹,,격투,발경*,,격투,파동탄,41.3,1822.9,128457.5,106.07,100.0,100.0,100.0,SSS,,
,,M,,,,뮤츠(메가X)²,,격투,카운터*,,격투,기합구슬,39.6,1716.3,106225.2,101.15,95.8,94.2,95.4,AAA,,
격투,,M,,,,번치코(메가),,격투,카운터,,격투,파동탄,40.3,1422.9,93305.4,97.81,97.6,78.1,92.2,AAA,,
,,M,,,,루카리오(메가)²,,격투,카운터,,격투,파동탄,37.3,1645.4,85384.9,95.78,90.3,90.3,90.3,AAA,,
,,,,,,케르디오(각오의 모습),,격투,안다리걸기,,격투,신비의칼,34.9,1657.9,70465.8,91.35,84.5,91.0,86.1,AAA,,
,,M,,,이름 재입력,대여르(메가)¹,,격투,카운터,,격투,깨트리기++++,36.7,1368.1,67353.9,90.13,88.7,75.1,85.0,AAA,,
,,M,,,150MY,뮤츠(메가Y),,격투,카운터*,,격투,기합구슬,34.3,1272.8,51500.7,84.46,83.1,69.8,79.6,ABA,,
,,M,,,이름 재입력,"엘레이드(메가)¹
2026년 9월 8일",,격투,안다리걸기,,격투,성스러운칼,34.5,1204.7,49318.3,83.50,83.4,66.1,78.7,ABA,,
,,S,,,이름 재입력,그림자 번치코,,격투,카운터,,격투,파동탄,36.9,923.7,46412.6,82.14,89.3,50.7,77.4,ABA,,
,,,,,448,루카리오,,격투,발경*,,격투,파동탄,32.2,1189.2,39725.1,79.10,78.0,65.2,74.6,ABA,,
,3698,M,,,,헤라크로스(메가),,격투,카운터,,격투,인파이트,31.1,1180.1,35643.9,76.98,75.4,64.7,72.6,ABA,,
,,S,,,,그림자 노보청,,격투,발경,,격투,폭발펀치,32.9,1007.8,35782.5,76.95,79.6,55.3,72.6,ABA,,
,,,,,639,테라키온,,격투,두번차기,,격투,성스러운칼*,30.3,1243.7,34757.5,75.89,73.5,68.2,71.6,ABA,,
,3698,,,,647OF,케르디오,,격투,안다리걸기,,격투,성스러운칼,27.9,1324.3,28669.6,72.95,67.5,72.7,68.8,BAB,,
,3056,,,,257,번치코,,격투,카운터,,격투,파동탄,30.3,912.4,25504.0,70.73,73.5,50.1,66.7,ABB,,
,2829,S,,,이름 재입력,그림자 괴력몬,,격투,카운터,,격투,폭발펀치,30.3,836.4,23290.1,69.12,73.4,45.9,65.2,ABB,,
,,S,,,이름 재입력,그림자 하리뭉,,격투,발경,,격투,폭발펀치,29.5,860.8,22096.4,68.21,71.4,47.2,64.3,ABB,,
,3745,S,,,이름 재입력,그림자 뮤츠,,격투,카운터*,,격투,기합구슬,30.8,741.1,21580.5,67.95,74.5,40.7,64.1,ABB,,
,4510,M,,,이름 재입력,엘레이드(메가)²,,격투,안다리걸기,,격투,인파이트,27.8,971.8,20777.3,67.27,67.2,53.3,63.4,BBB,,
,3022,M,,,428M,이어롭(메가),,격투,두번차기,,격투,기합구슬,27.5,964.7,20116.9,66.63,66.6,52.9,62.8,BBB,,
,2848,,,,534,노보청,,격투,발경,,격투,폭발펀치,27.1,999.5,19997.4,66.53,65.7,54.8,62.7,BBB,,
,,M,,,65M,후딘(메가),,격투,카운터*,,격투,기합구슬,29.9,685.9,18349.0,65.26,72.4,37.6,61.5,ABB,,
,,,,,,마샤도,,격투,카운터,,격투,인파이트,25.2,1134.3,18074.4,64.25,60.9,62.2,60.6,BBB,,
,,,,,638,코바르온,,격투,두번차기,,격투,성스러운칼*,22.3,1511.2,16677.2,63.67,53.9,82.9,60.0,BAB,,
,3056,M,,,이름 재입력,대여르(메가)²,,격투,카운터,,격투,엄청난힘,25.9,964.8,16687.2,63.59,62.6,52.9,60.0,BBB,,
,,CShield,,,889CS,자마젠타(방패왕),,강철,메탈클로,,격투,인파이트,20.3,1633.5,13723.6,60.62,49.2,89.6,57.2,BAB,,
,3461,,,,68,괴력몬,,격투,카운터,,격투,폭발펀치,25.0,828.7,12964.6,59.70,60.6,45.5,56.3,BBB,,
,3022,,,,795,페로코체,,격투,안다리걸기,,격투,기합구슬,30.3,444.2,12361.9,59.08,73.4,24.4,55.7,ACB,,
,3548,,,,150,뮤츠,,격투,카운터*,,격투,기합구슬,25.5,736.9,12196.5,58.92,61.7,40.4,55.6,BBB,,
,,,,,297,하리뭉,,격투,발경,,격투,폭발펀치,24.3,849.9,12123.1,58.71,58.7,46.6,55.4,BBB,,
,2848,,,,640,비리디온,,격투,두번차기,,격투,성스러운칼*,22.8,1002.0,11941.3,58.14,55.3,55.0,54.8,BBB,,
,,,,,794,매시붕,,격투,카운터,,격투,엄청난힘,23.4,886.2,11404.9,57.90,56.7,48.6,54.6,BBB,,
,2842,DWI,,,145G,썬더(가라르),,격투,카운터,,격투,인파이트,24.2,792.7,11237.4,57.42,58.6,43.5,54.1,BBB,,
,4178,,,,286,버섯모,,격투,발경,,격투,폭발펀치,26.9,583.6,11321.5,57.37,65.1,32.0,54.1,BBB,,
,3033,,,,이름 재입력,저승갓숭,,격투,카운터,,격투,인파이트,21.4,1047.9,10198.5,55.69,51.7,57.5,52.5,BBB,,
,2985,,,,766,내던숭이,,격투,카운터,,격투,엄청난힘,22.3,803.3,8895.0,54.33,54.0,44.1,51.2,BBB,,
,3117,,,,865G,창파나이트(가라르),,격투,카운터,,격투,인파이트,23.4,665.7,8561.0,53.82,56.7,36.5,50.7,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,3열,포켓몬,4열,5열,일반공격,6열,7열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,38.8,2454.5,74708.1,101.2,34.2,2292.3,96.0,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,,M,,,이름 재입력,"헬가(메가)¹
2026년 9월 8일",,악,바크아웃,,악,악의파동++++,37.7,2229.1,119725.5,104.1,110.3,97.2,108.4,SAS,,
,5347,M,,,248M,마기라스(메가),,악,물기,,악,세차게휘두르기,30.5,3067.2,86845.9,96.0,89.1,133.8,100.0,ASS,,
,,S,,,이름 재입력,"그림자 다크라이¹
2026년 9월 8일",,악,바크아웃,,악,속임수,34.2,1636.5,65514.9,89.5,100.0,71.4,93.2,SAA,,
,3834,S,,,이름 재입력,그림자 마기라스,,악,물기,,악,세차게휘두르기,30.6,1956.1,56073.8,86.1,89.5,85.3,89.6,AAA,,
악,,S,,,이름 재입력,그림자 삼삼드래,,악,물기,,악,세차게휘두르기*,31.3,1721.7,52737.2,84.8,91.5,75.1,88.3,AAA,,
,3842,M,,,이름 재입력,앱솔(메가)¹,,악,바크아웃,,악,세차게휘두르기*,33.8,1257.9,48772.4,83.1,98.9,54.9,86.6,ABA,,
,,S,,,이름 재입력,그림자 다크라이²,,악,바크아웃,,악,악의파동,31.7,1515.9,48208.3,82.9,92.6,66.1,86.3,ABA,,
,,M,,,이름 재입력,"개굴닌자(메가)
2026년 9월 8일",,악,속여때리기,,악,세차게휘두르기,30.2,1618.4,44451.3,81.2,88.2,70.6,84.6,AAA,,
,3834,M,,,이름 재입력,헬가(메가)²,,악,바크아웃,,악,속임수,28.8,1703.5,40898.1,79.6,84.3,74.3,82.8,AAA,,
